0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3112,2878,0,0,0,0,0,0,0,0,8579,2878,3871,2878,8579,218,1378,419,7932,6208,11587,140
10935,14086,14713,6392,5994,7156,9719,13727,1432,6390,4711,8086,4711,14225,9719,4705,14336,10740,9592,7286,13399,14688
9264,2320,12535,3281,3093,3089,11579,1259,10710,11398,11585,14222,10490,11398,11669,3767,11585,3093,9583,10394,11562,3091
3361,11344,0,0,0,0,8579,11344,8577,8579,7838,11344,7838,8579,11740,11344,2878,11633,9601,11047,11555,473
800,13013,0,0,0,0,3647,3647,13492,12967,13013,12776,5572,12967,13013,10578,13393,11748,2889,12776,5569,6874
7555,6870,0,0,0,0,0,0,0,6848,6843,6869,13149,4659,6869,6089,10789,12854,6843,11358,12628,12844
1682,6841,0,0,0,0,2741,10948,4825,6841,12288,6831,12288,10730,6831,1787,10557,6392,8455,6839,5719,10569
2487,10620,2136,10810,10704,10701,10702,3281,3281,6604,10692,10692,2059,10702,12233,10704,3001,10488,10319,2605,10692,10747
7779,12641,12624,10531,10215,10772,13418,2142,13424,13425,11688,11005,2142,14483,13423,11670,10373,10215,13418,10772,9208,6029
15881,15018,0,0,0,0,0,15022,15042,15025,15018,14965,15042,15018,15022,15020,15033,15025,15019,15029,14965,14988
8944,13407,0,0,0,13406,13407,11584,13405,13407,13406,13405,13405,13407,10790,12265,11584,13406,13404,13423,10620,11228
18959,5210,0,2274,13703,12391,2274,13703,1833,2591,2591,5218,7125,2591,13703,3664,7934,7153,14480,2975,14368,14640
14831,14768,0,0,0,0,0,0,14672,14735,1931,14716,14735,14672,14694,14716,14768,2382,14743,1931,13407,13405
1076,10613,10566,3041,6443,6443,10689,10613,10613,10987,10799,6443,10566,6443,10613,10441,10568,10987,10799,10688,10801,3041
10970,14444,0,0,0,5617,2016,5613,14318,13720,10377,6476,5613,14304,10620,11006,14099,14318,14334,10686,14335,14326
5576,10692,11098,6207,1378,3765,11192,11192,11192,11192,6604,3765,10692,11192,5626,9454,10905,10312,11098,11555,10744,13781
17858,15257,0,0,0,15232,15257,15257,15261,14880,15257,15232,15866,15232,14880,15257,14879,15234,15233,15261,15286,15237
9048,10612,11670,11005,10398,10505,6009,10487,10398,6734,11026,10504,10487,10505,10751,10612,10504,11581,5120,11026,10615,6009
12945,13573,12745,12744,12744,6154,3736,13573,13573,10541,10998,8502,13573,81,10998,80,8502,6111,3736,10541,79,13005
14723,14800,0,0,0,0,0,14926,14863,14863,14926,14930,14930,14909,14919,14800,14891,14929,14863,14925,14911,14926
744,9121,0,11367,11366,9122,11367,11367,9110,9110,9108,9111,9111,11367,11366,9085,9120,9122,9110,9112,11365,2049
16553,14374,0,0,0,0,14220,15701,14981,9019,3119,9696,9019,3119,3031,14920,2814,14804,13405,11598,761,14474
12077,13423,14572,14627,14584,10556,13423,13424,14584,14584,14627,14572,14584,14572,14578,14627,14626,2383,14577,14555,6036,14536
18508,15866,0,0,0,0,0,0,15240,15235,15286,14879,15235,15240,14879,15286,14880,15866,15232,15257,15237,15233
18849,15221,15174,13811,14731,14180,13811,14578,15019,13411,13416,11402,13811,13416,14899,14982,14470,2015,13418,13424,14412,13423
18719,15360,0,0,0,15204,15529,15801,15289,15277,15277,15278,14731,15278,15801,15276,15360,15528,9332,15277,2312,15275
6364,12529,8078,11882,4184,1384,12297,12297,11584,11584,11076,11076,12297,11208,11584,5929,11076,10790,12028,12529,12643,13772
14683,11087,7962,5480,123,8454,1755,7962,1755,5480,7967,7599,5480,7599,7962,1741,7907,1755,123,10579,12489,4462
7128,13885,0,0,350,3841,13885,14,2351,14,3841,2351,13885,14,9296,7962,1741,3845,12548,2351,11807,123
3899,10305,0,0,0,0,0,0,13422,13433,10305,13422,13422,13433,10305,13440,14719,4085,13441,10450,14474,2014
18539,14944,0,0,0,0,0,0,14879,15222,8871,15250,15250,15222,8871,14879,15261,15232,15218,14880,15264,15219
