0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16822,14860,0,0,0,10525,14355,14354,14355,14860,10525,14355,14860,0,1,2,3,4,5,6,7,8
16673,11185,0,14980,8860,14983,14630,8860,14630,11102,11102,11185,14983,11185,11098,14630,0,1,2,3,4,5
10776,14150,0,0,0,0,0,0,0,14141,14208,14311,14208,0,1,2,3,4,5,6,7,8
18018,14769,9055,5505,6497,14769,14765,9055,6491,14695,14695,2461,9055,9063,14664,9067,6497,14717,14763,14695,0,1
5628,3804,12147,13754,6655,13754,13934,12399,3917,409,407,5981,3722,9601,2688,3075,4589,7932,11587,156,8579,7734
2261,2841,0,0,0,0,10686,10686,10686,11513,10620,10621,11514,11513,10620,10621,0,1,2,3,4,5
13076,14535,0,0,0,0,14628,14627,14626,14353,14604,11557,14627,2383,2384,0,1,2,3,4,5,6
13925,4748,4754,4772,4751,4754,4762,6390,4731,4749,14086,4731,4705,4742,14086,0,1,2,3,4,5,6
625,10684,0,10781,10781,10781,10491,10486,10684,10300,10299,3405,10300,10712,0,1,2,3,4,5,6,7
664,10594,0,0,0,0,0,12923,12923,12923,4406,4405,996,4678,1134,8582,4406,1090,5834,13753,10591,6662
14796,14861,14915,14878,14799,14766,13405,14484,14344,14878,14881,14928,14886,14930,14862,14892,14749,14881,14873,14928,14877,14869
4739,3667,0,0,0,0,0,11921,3216,11921,11921,11921,11921,0,1,2,3,4,5,6,7,8
14041,1497,6435,6435,10142,10142,4892,4892,4880,4880,1503,1502,1502,0,1,2,3,4,5,6,7,8
7161,12636,0,0,0,0,13536,12640,12642,12641,12643,14034,12642,12641,12643,13536,14034,14033,0,1,2,3
12796,14627,14626,14627,14627,14572,14584,10556,14577,14576,14572,14572,14584,14572,14627,14626,0,1,2,3,4,5
14584,14279,0,0,0,0,0,0,0,1224,14663,5242,13424,11205,11598,14483,11882,13818,9781,13612,13723,12529
17829,4379,0,0,0,0,14880,15286,15257,15258,12728,691,15233,14880,15286,0,1,2,3,4,5,6
7705,2329,0,0,0,0,0,0,0,6780,6426,10489,6426,0,1,2,3,4,5,6,7,8
5617,2265,0,0,0,12207,12206,12207,12206,12207,3870,8563,12206,12207,0,1,2,3,4,5,6,7
11972,6540,0,0,0,0,0,0,0,0,0,7,5196,2981,901,12979,12710,11027,0,1,2,3
17119,6488,14584,15111,6488,15035,14998,14491,1871,14981,15035,15091,14981,10605,15116,14491,15032,15031,14890,6488,15035,15162
14027,14883,0,0,0,0,0,0,14197,14882,14868,14884,14882,14904,14889,14868,6129,14797,14227,0,1,2
1876,11000,10760,3389,1106,1106,1906,10436,10688,11513,11000,11000,11500,11513,11000,0,1,2,3,4,5,6
11281,14260,0,0,0,0,0,0,14272,133,135,132,134,136,0,1,2,3,4,5,6,7
5446,10692,0,0,0,0,0,321,8491,12012,10692,10692,1674,11513,11996,10692,7909,10490,12541,3281,12201,0
265,8299,8299,6392,8299,10739,10739,6392,8299,10739,8299,8299,8299,0,1,2,3,4,5,6,7,8
16254,14270,0,0,0,0,0,0,0,0,11082,5152,8469,11082,0,1,2,3,4,5,6,7
5239,5156,0,0,0,0,0,0,0,0,0,4690,10685,8469,9781,11380,4686,13429,11561,10732,10708,6389
4914,10999,10680,10999,11594,15873,367,367,11594,11594,11593,10680,10999,10777,11594,0,1,2,3,4,5,6
8690,13425,13418,13417,13411,13425,13423,13424,13417,13411,13423,13424,13424,13423,13425,13418,13417,13411,0,1,2,3
17358,15187,0,0,0,0,0,0,0,0,0,15123,15187,15123,15190,0,1,2,3,4,5,6
702,10747,2805,2734,2749,2734,2805,2749,10373,11507,11507,10747,9062,10769,11507,7946,10771,6489,3780,0,1,2
122,10555,0,10343,11341,10983,3946,10339,10343,10983,10983,9760,10555,10554,0,1,2,3,4,5,6,7
