0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2005,10904,0,0,0,0,0,0,0,10530,3220,3129,11513,10990,10686,3220,10790,9120,11006,9111,10616,10589
3540,11880,0,0,0,0,0,0,0,0,8862,7366,2851,10448,2854,14095,10436,13534,2068,14861,13785,12493
3699,10680,10395,11750,3281,3667,10680,11508,3285,11750,11561,11750,11750,11561,10680,11562,3281,11749,3285,12201,11508,10490
9920,11205,10758,10758,8471,14213,11074,10758,11100,14212,10757,13713,11102,13715,11920,11098,11100,10561,11001,10757,11026,10395
8996,13575,14615,13822,12264,14084,14222,13614,14483,10289,13680,12535,14483,11076,13536,11598,13697,13614,12620,12637,14224,14034
17055,15029,15178,15042,15029,15029,15177,15116,15139,15116,15162,15042,15029,15042,15162,15116,15020,15025,15019,15033,15018,15049
5424,10454,0,0,0,0,0,0,0,0,10455,10454,2657,10927,6586,7777,7776,10578,6585,14899,14181,12644
8549,13718,13711,13680,14224,13686,6249,12643,12642,13423,13424,5620,13423,13424,13418,13411,13614,13417,14483,13426,13568,13425
5692,12030,2319,10790,12265,11584,11064,11598,12030,10790,11584,11598,12265,11598,11584,11064,10790,14107,12027,12028,14123,14179
17653,15123,2461,6488,15139,6488,15139,15123,15123,15177,15190,2463,2461,2462,6482,2463,2465,15187,15116,15139,15119,15123
4351,9731,0,0,0,11091,11562,9709,10692,11192,9208,10990,11513,11006,10689,9120,10747,10790,3281,10581,10686,10616
9972,8579,0,0,0,0,0,0,0,0,218,218,15873,12004,8321,14406,11227,7146,3220,10745,11996,11513
15220,14630,0,0,0,0,0,0,14632,14987,14995,14631,14631,14983,14632,14984,14629,14987,14986,14959,14630,8471
11624,10741,0,0,7847,6126,8850,4753,4754,7154,4753,4753,7154,14318,14025,13418,10923,2657,10745,10570,14897,14142
2208,12807,10348,2016,10905,8874,9081,6774,13275,12849,13176,12809,10605,12729,7800,4094,283,48,4118,10443,616,11067
12013,12999,0,0,0,0,0,827,10438,10566,10570,3041,10438,10450,3041,13573,14861,10436,12633,667,2234,10439
17423,10487,0,0,0,0,0,0,0,0,14885,15123,15187,15123,15171,10352,15177,6482,15139,15136,14372,2462
16044,15176,0,0,0,0,0,0,15190,14571,6482,15139,15139,6482,15116,15162,15117,2463,15119,15031,2462,15178
