0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
19101,13811,0,0,0,0,0,0,0,0,0,13693,14865,12770,14874,3085,15208,14904,38,14227,13370,8317
13430,7768,0,0,0,0,0,0,0,0,7768,14624,4865,14624,7768,14606,14567,13534,9135,7777,14573,14488
15389,14996,0,0,0,0,0,14980,14025,10789,10789,13762,10789,8579,7714,14980,14630,14970,13762,6208,14983,14631
7490,7371,0,0,0,0,0,0,0,0,13536,9781,13536,9781,12642,11091,12640,12643,3869,12535,3220,3883
12844,13422,0,0,0,0,0,0,13433,1789,1790,13433,13433,13422,1790,1789,4085,13441,13442,13440,10576,10592
9107,9685,10562,2525,6661,13715,8039,12529,8039,11077,13884,9686,9685,2286,14636,9684,11372,10431,8039,6,14633,9686
10037,1142,0,0,0,0,0,0,0,0,8526,2874,1224,7604,13609,14251,2874,6475,1225,10423,10421,10538
2823,11380,0,0,0,0,0,0,0,0,11512,4823,15115,4823,11512,11511,11096,8546,2532,3044,11514,50
2550,4094,9089,9089,9089,9089,4094,4094,10591,10591,7502,9089,9091,9089,13433,9111,10591,9106,15506,10575,11366,8337
8451,11750,0,0,13406,13406,13405,11584,11513,11514,11670,13711,13423,13406,13424,13418,13405,13425,13426,13407,13612,11670
1666,9660,0,0,0,0,0,0,0,0,0,9660,9660,1138,6527,12654,5843,7606,10708,10940,11399,10453
5624,11584,0,0,0,12030,10790,11584,9067,12264,12030,10790,10790,12265,11584,12030,12027,11598,11063,11077,12264,11072
2985,11042,0,0,0,0,0,11380,11380,11095,11097,11380,11097,11095,11380,11096,11090,11041,10436,11093,11094,11028
14597,14766,0,0,0,0,0,0,0,0,9220,13720,9781,13720,13818,13723,9596,14766,6250,13738,9220,12529
6008,2742,0,10545,12014,12014,12014,12014,11077,12233,12499,12529,12014,12529,10491,3285,10948,11077,10949,12624,3869,11076
4228,11101,0,0,0,0,0,0,0,11098,11100,11185,11185,11098,11100,11102,11099,11101,11186,11190,11187,11192
2877,4444,0,10989,11544,11546,11545,4442,4441,6468,11545,4441,4441,8265,4444,11545,4384,9089,6479,10320,7147,4438
10263,14318,0,0,0,0,0,0,0,0,14261,14260,14260,14258,14261,14318,8583,7800,5613,14272,9267,132
6125,3857,7331,5885,3859,3857,3858,3859,5885,5885,3858,3857,3858,3859,11497,5885,3857,6364,11056,211,8035,11965
9267,13718,0,0,0,0,3945,13827,13722,12017,5620,13828,13722,13785,13827,13828,1241,3122,11598,2317,13822,13821
176,11916,0,0,0,0,0,0,5961,5974,286,11916,286,11916,13595,5974,5961,13593,424,10684,3657,275
11517,14443,0,0,0,14416,14443,14443,14448,14457,14452,14448,14448,14443,14452,14457,14421,14444,14455,14446,14471,14445
12060,14536,0,0,0,0,12637,14536,14563,9765,14536,14563,14536,2383,14563,5122,9765,14584,14579,14626,14571,14646
4585,11933,0,0,0,15873,5564,11206,11933,11933,11933,9086,11933,11593,11206,11749,11007,10777,11562,11928,10680,11739
1337,9096,0,12274,12274,12274,12274,12278,12277,12276,9085,9120,9085,9120,9122,9125,9092,14025,9111,10566,9110,9084
7317,4834,3396,68,67,3216,4834,3216,4834,9772,3216,4834,3216,11921,10800,5600,9245,10801,4834,11219,9281,9257
13273,14874,0,0,0,13735,13694,11598,2272,14904,14882,5630,13698,14797,14889,14904,14227,14868,14882,14197,13735,6129
16659,14861,0,0,0,0,15119,15117,2461,2463,15119,15052,2463,2461,15117,15119,15068,15092,15050,15052,2462,14891
12365,15306,0,0,0,0,0,0,0,11365,11366,11365,11365,11367,9111,11366,9110,9103,9112,9122,9778,9087
16069,14862,0,0,0,0,0,14862,14873,14862,14873,14862,14861,14873,14869,14749,14877,14881,14862,14933,14878,14993
2679,10620,0,11514,11514,10686,10686,11513,11513,11494,10620,10621,10621,10620,10686,11514,11513,10683,11494,11006,10898,10583
15512,9089,0,0,0,0,0,0,14983,14984,14900,14147,14631,14983,14629,14630,14984,14632,14897,14899,14993,13425
18596,9135,0,0,0,0,0,0,0,0,0,4765,4750,14261,14713,15517,4765,13752,5994,14258,10810,14086
5844,11584,12030,11584,11584,12030,10790,10790,11584,11584,10790,10790,10790,12265,11584,12030,11598,12027,11064,11063,8095,2597
577,10732,10732,12874,10732,12874,12874,10732,10732,12874,12874,12874,11380,10732,12874,3806,8321,11096,10568,11219,792,2850
2739,10235,9818,9771,9771,9819,9782,9162,6539,9700,9700,9700,9700,9771,10488,10692,9767,14549,9782,9766,9818,9820
3154,11179,11179,5278,5278,5270,5270,9366,9366,8174,3195,7939,11511,10571,8851,8174,1727,9366,11921,7211,2572,10898
10102,14180,0,0,0,0,0,0,14101,11064,14180,14468,14180,14468,14141,14469,14197,8017,13824,14672,14133,13785
13180,14280,0,0,0,0,0,0,0,0,14000,2603,2603,14660,14262,13999,10150,9067,1787,5242,14538,3954
16134,15033,0,0,0,15119,2463,15117,14592,14555,15174,15033,15174,15033,15122,15029,15020,2651,14592,15023,15169,15093
14986,1101,0,0,0,0,0,14561,1467,13811,14561,1102,13811,13418,9311,13822,13785,13826,1000,14561,13806,13828
15915,11098,14983,14987,14983,14984,14630,14631,14995,13781,13762,14987,14631,14984,14983,14630,14987,14995,14629,8471,14632,14993
13274,14909,0,0,0,0,0,0,0,14685,14262,2865,14262,14747,2382,14672,14279,14735,14716,14698,14408,14681
3539,11290,0,0,0,0,0,0,0,378,11289,11287,11287,11304,11289,378,11290,11285,11303,11294,11250,11252
2043,11514,10312,3767,9781,10686,11006,11514,12535,10312,9781,10686,11513,11514,11006,10686,11494,12535,10312,9781,3767,10486
1514,10764,9776,9776,10762,10762,10484,9774,9701,9701,12535,12535,3091,10312,10376,10486,10990,11514,2071,12535,10488,9781
16326,15022,0,0,0,0,0,0,0,0,15022,15020,15025,15029,15020,15018,15033,15042,15022,15019,15068,15093
8299,5992,0,11687,11684,2443,5992,10583,9151,321,159,11684,159,321,10583,10745,11098,11594,11102,9045,11684,11185
10954,8881,0,0,0,0,0,0,0,11358,9061,8881,11358,9061,9062,8881,9051,14173,9964,4858,2385,14176
8295,7675,7672,7672,7944,2141,7321,7675,12638,14034,3220,7321,3220,11227,10914,10906,12640,10982,14034,3778,7321,3129
16824,15139,6482,15031,15031,2465,15117,15035,15053,15136,15186,14931,15035,15162,15136,15176,14885,15053,14570,15117,15139,2600
7075,11584,0,0,0,0,0,0,0,0,0,12027,12030,12027,11598,11064,12265,11584,11982,10790,11063,11067
14045,14925,14926,14926,14926,14926,14919,14919,14800,14800,14929,14929,14891,14919,14930,14800,14929,14926,14925,14909,15068,14911
4828,11099,0,0,0,0,0,0,0,11098,11099,11100,11102,11100,11099,11098,11101,11185,11186,11187,11190,8485
18301,15866,0,0,0,0,14880,13717,14880,15233,15866,14880,15233,14880,15257,15234,15866,10423,15237,15286,15232,15692
5655,13422,0,0,0,0,13433,13433,10576,13422,10576,10578,13433,13422,10576,1790,10575,13442,10578,13441,13444,10592
10503,11562,0,0,0,0,0,0,0,14090,11514,8968,11006,11514,10686,11513,11494,2319,9596,9821,8968,11594
16072,4754,0,0,15020,14792,13691,14160,4703,4748,4754,4751,4702,4748,4703,4751,14160,8295,10740,14792,15223,4754
18655,376,12117,4338,14866,7934,376,5640,9,354,379,7934,379,376,346,1524,372,4,7934,4344,5640,3714
3146,11820,10706,10731,10731,12765,10706,10731,12765,10706,12765,10731,12765,10731,10706,6443,10984,10566,4306,10685,10708,10307
2251,9454,8491,8491,6539,6539,10556,10683,10683,11513,5622,5622,10948,11494,11513,10554,11514,10603,11006,10566,11007,11008
18474,14870,0,0,0,0,0,0,0,0,15218,15218,15216,15218,15219,14872,15240,13411,14803,14871,8341,15233
17321,14686,0,0,0,15189,13794,6610,15189,6610,15189,14686,15189,6610,13794,14686,6596,14081,14491,11996,12674,6633
7939,13395,12128,5345,5298,5299,6590,12206,12207,11563,2844,12207,12207,12206,2844,2615,11065,3281,11750,3870,11508,3285
2782,13284,12962,12819,2073,229,13375,12486,363,8018,8018,2456,13375,12485,12486,10576,12819,10495,10262,3709,10909,9083
10028,14079,0,0,13800,13798,13966,2486,14079,13957,13966,13957,13800,2814,14079,13798,13957,13966,9140,14480,9190,2050
3388,13142,12952,13288,13257,13258,6921,6940,6919,6917,6938,13379,6846,6796,6921,11363,6917,6922,13284,12812,12807,12970
6883,11218,0,0,0,0,0,0,0,0,11508,10785,11508,11562,11402,3870,11561,11749,10680,3989,11593,11750
11659,13423,0,14318,14318,5613,14412,14404,13423,8356,14142,14318,14318,5613,14334,13423,14304,5618,14316,13418,14672,5617
14224,14685,0,0,0,0,0,0,5237,10145,8961,10145,10145,13418,14572,10555,7950,10556,7900,9311,9596,6036
1760,993,0,0,0,10576,10576,10781,10746,10746,9372,993,10911,10725,993,10578,10731,8469,9338,13013,9372,11500
906,6489,6489,5512,5514,5513,2365,9055,10907,2227,1984,9067,9067,10907,9063,3157,2132,1984,6489,2365,9373,10766
10992,14402,0,0,0,14645,14403,14409,14403,14411,14409,14411,14411,14403,14402,14409,13423,14401,14404,13425,13418,14410
13639,283,0,0,0,0,0,0,0,0,0,271,8969,14167,14074,13802,10789,14073,271,13713,15620,14446
9543,5603,0,0,0,0,0,0,0,0,0,7390,3200,7568,7390,5603,7392,12206,6969,11594,748,13012
16864,8871,0,0,0,0,0,0,15137,15524,15035,15189,15032,15035,15136,15524,2136,14885,15133,15034,15190,15189
3313,10568,0,0,0,0,0,0,0,0,1055,10569,10566,10569,10568,11043,10570,4122,1906,10438,10483,10707
9567,14036,0,0,0,0,0,0,0,0,11882,13716,13705,13715,13716,13717,13423,13425,13710,13418,13609,13424
14848,5632,0,0,5124,14730,14730,14730,14730,11590,11590,11590,14730,11590,286,13600,13595,14211,14954,10789,7714,14633
8023,12225,11185,11189,12126,12225,11189,12224,9722,12126,12224,11185,11098,11189,11185,12126,10320,12129,3494,13609,12224,9722
3886,10691,2813,1079,10691,9710,5239,7472,6255,913,3158,7473,913,7473,9245,6012,2328,80,320,7708,2162,2959
10061,3778,0,0,0,0,0,0,13811,13809,13811,13826,13811,13826,13418,13809,13822,13804,14973,14227,13824,14145
6783,7337,0,0,0,0,0,0,7337,8716,8725,8697,7337,8864,14876,9055,13066,5505,14861,14890,14412,15071
19076,15227,0,15233,15587,15588,6586,6585,6586,15286,15227,15134,15228,15227,15159,8871,15233,15134,14897,14569,14899,15158
4774,11100,0,0,0,0,0,0,0,0,0,11187,11101,11187,11099,11098,11100,11102,11188,11185,285,11186
17333,8878,15220,15822,2447,2126,9764,11050,2497,2497,2611,9764,9764,2497,2611,14259,15104,11050,10337,4568,14734,2850
14579,6129,0,0,0,0,0,0,0,0,0,14889,14889,14797,14904,14227,14197,14890,14882,13698,6129,6131
12384,14626,7715,11590,14627,14626,14572,14555,14895,11590,14555,14572,14584,14555,14560,14627,14895,14572,14888,14954,14628,2356
8880,10438,0,0,0,0,0,0,10566,11501,10566,3041,10566,3041,1055,10450,11501,10438,12505,9783,12995,10568
6580,3209,0,12230,12226,11183,8475,8485,11098,12638,10746,3187,10423,3187,10746,8485,11183,12230,6587,12226,9132,12227
4243,11793,0,0,0,0,0,0,0,902,11027,13009,3280,6530,12979,3248,11027,11028,901,12978,6524,12710
10231,12205,5858,11938,11938,11858,11884,13448,13447,11759,12205,11938,11938,11884,11759,12402,13448,13446,11812,12205,11939,11941
7054,9242,0,13213,12641,9242,9232,9232,9232,9232,9232,9242,9232,9242,12641,13780,7903,12798,9231,4837,2959,11230
2840,5840,12154,12154,12154,2274,12391,12156,2274,12153,10589,10290,12154,10394,2274,12153,12391,10768,6934,8078,12149,10679
5035,13101,0,0,13506,1225,2001,9507,13101,11926,9507,1225,817,3869,11584,11937,1467,7932,1225,7610,6610,10708
5979,11589,5727,11589,11589,10769,9079,9079,2499,12015,2874,558,10320,11102,11098,10766,12126,10545,5727,9587,2079,1790
5540,12265,0,0,0,0,0,0,5602,11072,11192,10692,11192,10692,11072,9700,12028,12242,9068,11008,11218,11209
4988,11380,0,0,0,0,11380,11562,3220,3122,2029,11402,11402,11508,3870,3989,11593,11562,6243,10786,10710,12537
17855,14138,15019,13738,1990,9781,13723,10477,10477,14687,14569,13612,13723,9781,13612,13738,11193,13720,14681,13679,11508,13804
