Model,Hit@10,NDCG@10,ClickType
GRU4Rec,0.4064482029598308,0.3442736079825785,click
GRU4Rec,0.5360824742268041,0.4429879441609182,purchase
GRUSACRec,0.2274312896405919,0.1813721191114401,click
GRUSACRec,0.3820777160983346,0.3055438454192749,purchase
GRUBCQRec,0.2544397463002114,0.248563809965365,click
GRUBCQRec,0.3465503568596352,0.3275803583751681,purchase
GRUDQNRec,0.0019556025369978,0.0017075711857314,click
GRUDQNRec,0.0025376685170499,0.0017522420323528,purchase
GRUSQNRec,0.4201902748414376,0.3590130121082887,click
GRUSQNRec,0.5451229183187946,0.4489138087377389,purchase
