Model,ClickType,Hit@20,NDCG@20
GRU4Rec,click,0.4887420718816068,0.3743567915503369
GRU4Rec,purchase,0.6477398889770024,0.4838634603416797
GRUSQNRec,click,0.5053911205073995,0.3901389784969185
GRUSQNRec,purchase,0.655035685963521,0.48915066021383047
GRUSACRec,click,0.29249471458773785,0.2051534598224637
GRUSACRec,purchase,0.4742268041237113,0.3391668763830017
GRUBCQRec,click,0.25961945031712474,0.2505141880481364
GRUBCQRec,purchase,0.3555908009516257,0.33104155003599095
GRUDQNRec,click,0.0033826638477801266,0.0022308946679686897
GRUDQNRec,purchase,0.006026962727993656,0.0030039980617616972
